text,class_id,class_name,split,template_type
The tea plantation in Sylhet reports significant crop stress affecting the petiole of plants.,1,helopeltis,train,cross_class
Tea cultivation report: early-stage stress indicators found on lower leaf surface across multiple plots.,0,gray_blight,train,cross_class
Tea cultivation report: early-stage stress indicators found on leaf margin across multiple plots.,4,red_leaf_spot,train,cross_class
Tea crop health assessment shows widespread fungal infection spreading through petiole tissue.,1,helopeltis,train,cross_class
Tea bushes in the Sri Lanka garden show widespread leaf symptoms requiring diagnostic testing.,1,helopeltis,val,cross_class
The leaf lamina displays classic helopeltis infestation marks with widespread brown stippling patterns.,1,helopeltis,train,class_specific
The tea plantation in Sylhet reports significant crop stress affecting the lower leaf surface of plants.,4,red_leaf_spot,train,cross_class
Tea tip borer helopeltis has caused mild characteristic shot-hole patterns on the petiole.,1,helopeltis,train,class_specific
Gray blight infection causes localized grayish-brown lesions on the upper leaf surface of tea plants.,0,gray_blight,val,class_specific
Leaf biopsy from the mature leaf shows widespread cellular damage consistent with pathogen attack.,3,brown_blight,train,cross_class
The petiole of tea plants shows moderate signs of stress possibly related to environmental factors.,3,brown_blight,train,cross_class
Weather-related stress compounded by widespread fungal infection on tea leaf margin tissue.,1,helopeltis,train,cross_class
Tea tip borer helopeltis has caused early-stage characteristic shot-hole patterns on the petiole.,1,helopeltis,val,class_specific
Tea cultivation report: advanced stress indicators found on leaf lamina across multiple plots.,0,gray_blight,train,cross_class
Severe extensive brown blight infection results in premature defoliation of tea young shoot.,3,brown_blight,train,class_specific
Tea quality tests show degraded leaf integrity with mild damage to upper leaf surface structures.,3,brown_blight,train,cross_class
Tea crop health assessment shows moderate fungal infection spreading through upper leaf surface tissue.,1,helopeltis,train,cross_class
Leaf biopsy from the leaf margin shows moderate cellular damage consistent with pathogen attack.,1,helopeltis,val,cross_class
Agronomists identified extensive disease patterns on tea lower leaf surface consistent with pathogen infection.,3,brown_blight,train,cross_class
The upper leaf surface shows mixed acute symptoms suggesting complex tea leaf disease interaction.,4,red_leaf_spot,train,cross_class
The leaf margin shows acute brown blight symptoms with irregular dark brown spots and margins.,3,brown_blight,train,class_specific
Tea leaves exhibit moderate red leaf spot lesions with distinct reddish centers on young shoot.,4,red_leaf_spot,train,class_specific
The lower leaf surface of tea plants shows chronic signs of stress possibly related to environmental factors.,2,algal_leaf_spot,train,cross_class
Tea crop health assessment shows early-stage fungal infection spreading through lower leaf surface tissue.,3,brown_blight,train,cross_class
