text,label,label_name,source
a drought stressed plant with dry curling leaves and brown spots on the underside of the leaf,0,water_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red spots,4,heat_stress,blip_caption
a drought stressed plant with dry curling leaves and brown spots on it,0,water_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,4,heat_stress,blip_caption
an infected crop leaf with blight and lesions and a hand holding it,3,disease_risk,blip_caption
a wilting crop plant with drooping leaves showing signs of blemching,0,water_stress,blip_caption
a crop leaf with insect damage and feeding holes showing the size of the leaf,2,pest_risk,blip_caption
a wilting crop plant with drooping leaves showing brown spots,0,water_stress,blip_caption
a wilting crop plant with drooping leaves showing brown spots,0,water_stress,blip_caption
a plant leaf with yellowing chlorosis showing brown spots on it,1,nutrient_def,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and black spots,4,heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,4,heat_stress,blip_caption
a plant leaf with yellowing chlorosis showing on a gray surface,1,nutrient_def,blip_caption
a pale discoloured leaf with nutrient deficiency and bloating,1,nutrient_def,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,4,heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and green spots,4,heat_stress,blip_caption
a plant leaf with yellowing chlorosis showing the brown spots on it,1,nutrient_def,blip_caption
a drought stressed plant with dry curling leaves and brown spots,0,water_stress,blip_caption
a drought stressed plant with dry curling leaves and brown spots on the underside of the leaf,0,water_stress,blip_caption
a wilting crop plant with drooping leaves showing brown spots,0,water_stress,blip_caption
a pale discoloured leaf with nutrient deficiency and green veins,1,nutrient_def,blip_caption
a crop leaf with insect damage and feeding holes showing on the underside of the leaf,2,pest_risk,blip_caption
a heat stressed plant with scorched brown leaf tips showing red spots,4,heat_stress,blip_caption
a crop leaf with insect damage and feeding holes showing on the leaves,2,pest_risk,blip_caption
a diseased plant leaf with fungal spots showing brown and green leaves,3,disease_risk,blip_caption
a wilting crop plant with drooping leaves showing brown spots,0,water_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,4,heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and green leaves,4,heat_stress,blip_caption
a plant damaged by pests with chewed edges and green leaves on a gray surface,2,pest_risk,blip_caption
a pale discoloured leaf with nutrient deficiency and mildness,1,nutrient_def,blip_caption
a plant damaged by pests with chewed edges and green leaves,2,pest_risk,blip_caption
a pale discoloured leaf with nutrient deficiency and blemching,1,nutrient_def,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,4,heat_stress,blip_caption
a diseased plant leaf with fungal spots showing signs of blemching,3,disease_risk,blip_caption
a plant damaged by pests with chewed edges and green leaves,2,pest_risk,blip_caption
