text,class_id,class_name
Brown necrosis expanding from tip and edges. More than half of some leaves showing blighted tissue.,0,LEAF_BLIGHT
Large irregularly shaped brown areas on leaf blade. Margin tissue soft and disintegrating under moisture. Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed.,0,LEAF_BLIGHT
Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,0,LEAF_BLIGHT
Brown necrosis expanding from tip and edges. More than half of some leaves showing blighted tissue.,0,LEAF_BLIGHT
Brown water-soaked lesions spreading inward from leaf margins. Tissue collapses rapidly under humid conditions. Whitish flecks on leaf blade. Tip region most affected. Leaves feel dry.,0,LEAF_BLIGHT
Leaf tissue turning brown from edges inward. Water-soaked translucent border at leading edge of lesion. Small angular marks on young leaves. Some tip wilting visible. Cause not immediately clear.,0,LEAF_BLIGHT
Large irregularly shaped brown areas on leaf blade. Margin tissue soft and disintegrating under moisture.,0,LEAF_BLIGHT
Irregular brown blotches covering large portions of the leaf blade. Adjacent tissue appears water-soaked. Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,0,LEAF_BLIGHT
Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,0,LEAF_BLIGHT
Brown necrosis expanding from tip and edges. More than half of some leaves showing blighted tissue.,0,LEAF_BLIGHT
Necrotic areas on leaf blade. Margins discoloured. Spreading under humid conditions.,0,LEAF_BLIGHT
Large irregularly shaped brown areas on leaf blade. Margin tissue soft and disintegrating under moisture. Rust-coloured patches on lower leaf. Upper surface pale above affected areas.,0,LEAF_BLIGHT
Brown patches on leaf margins. Tissue soft at edges. Worse in lower shaded canopy. Brown spots on new foliage. Raised texture at lesion centres. Shoot tips look unhealthy.,0,LEAF_BLIGHT
Leaf tissue turning brown from edges inward. Water-soaked translucent border at leading edge of lesion.,0,LEAF_BLIGHT
Dark necrotic patches with pale yellow borders appearing on lower canopy leaves. Soft texture at active edge. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,0,LEAF_BLIGHT
Large irregularly shaped brown areas on leaf blade. Margin tissue soft and disintegrating under moisture. Small angular marks on young leaves. Some tip wilting visible. Cause not immediately clear.,0,LEAF_BLIGHT
Irregular brown blotches covering large portions of the leaf blade. Adjacent tissue appears water-soaked. Whitish flecks on leaf blade. Tip region most affected. Leaves feel dry.,0,LEAF_BLIGHT
Brown patches on leaf margins. Tissue soft at edges. Worse in lower shaded canopy.,0,LEAF_BLIGHT
Brown patches on leaf margins. Tissue soft at edges. Worse in lower shaded canopy. Brown spots on new foliage. Raised texture at lesion centres. Shoot tips look unhealthy.,0,LEAF_BLIGHT
Leaf tissue turning brown from edges inward. Water-soaked translucent border at leading edge of lesion. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,0,LEAF_BLIGHT
Brown water-soaked lesions spreading inward from leaf margins. Tissue collapses rapidly under humid conditions. Orange-yellow spots on leaf surface. Powdery texture. Both leaf surfaces show discolouration.,0,LEAF_BLIGHT
Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,0,LEAF_BLIGHT
Brown water-soaked lesions spreading inward from leaf margins. Tissue collapses rapidly under humid conditions.,0,LEAF_BLIGHT
Brown water-soaked lesions spreading inward from leaf margins. Tissue collapses rapidly under humid conditions.,0,LEAF_BLIGHT
Large irregularly shaped brown areas on leaf blade. Margin tissue soft and disintegrating under moisture. Small angular marks on young leaves. Some tip wilting visible. Cause not immediately clear.,0,LEAF_BLIGHT
