text,class_id,class_name
Uniform whitish flecking on leaf blade. Leaves feel papery and dry. Lower canopy most affected. Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed.,1,LEAF_HOPPERS
Fine stippling on upper surface. Some leaf curl. Could reflect feeding damage or other stress. Small angular marks on young leaves. Some tip wilting visible. Cause not immediately clear.,1,LEAF_HOPPERS
Leaf bronzing with dense pale stippling from tip toward base. Brittle texture on older affected leaves. Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,1,LEAF_HOPPERS
Leaf bronzing with dense pale stippling from tip toward base. Brittle texture on older affected leaves. Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,1,LEAF_HOPPERS
Yellowing and bronzing of leaves with fine speckled texture on upper surface. Curled margins visible. Orange-yellow spots on leaf surface. Powdery texture. Both leaf surfaces show discolouration.,1,LEAF_HOPPERS
Leaf bronzing with dense pale stippling from tip toward base. Brittle texture on older affected leaves. Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,1,LEAF_HOPPERS
Pale stippling pattern across upper leaf surface. Leaf margins curling upward. Colour fading to pale yellow. Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,1,LEAF_HOPPERS
Fine white speckling uniformly distributed on upper leaf. Margins rolling and yellowing.,1,LEAF_HOPPERS
Yellowing and bronzing of leaves with fine speckled texture on upper surface. Curled margins visible. Brown spots on new foliage. Raised texture at lesion centres. Shoot tips look unhealthy.,1,LEAF_HOPPERS
Tip burn on young leaves with pale stippled damage spreading toward mid-leaf. Veins still green. Necrotic areas on leaf blade. Margins discoloured. Spreading under humid conditions.,1,LEAF_HOPPERS
Tip burn on young leaves with pale stippled damage spreading toward mid-leaf. Veins still green. Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,1,LEAF_HOPPERS
Pale speckling on upper leaf surface. Margins slightly curled. Yellowing visible on some leaves.,1,LEAF_HOPPERS
Yellowing and bronzing of leaves with fine speckled texture on upper surface. Curled margins visible. Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,1,LEAF_HOPPERS
Yellowing and bronzing of leaves with fine speckled texture on upper surface. Curled margins visible.,1,LEAF_HOPPERS
Uniform whitish flecking on leaf blade. Leaves feel papery and dry. Lower canopy most affected.,1,LEAF_HOPPERS
Uniform whitish flecking on leaf blade. Leaves feel papery and dry. Lower canopy most affected. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,1,LEAF_HOPPERS
Pale stippling pattern across upper leaf surface. Leaf margins curling upward. Colour fading to pale yellow. Holes and torn edges on leaf blade. Some veins exposed. Frass visible below.,1,LEAF_HOPPERS
