text,class_id,class_name
Yellowing and bronzing of leaves with fine speckled texture on upper surface. Curled margins visible. Orange-yellow spots on leaf surface. Powdery texture. Both leaf surfaces show discolouration.,1,LEAF_HOPPERS
Young flush with angular brown lesions at irregular positions. Rough raised texture at each wound centre. Brown patches on leaf margins. Tissue soft at edges. Worse in lower shaded canopy.,4,MOSQUITO_BUG
Rust-orange raised spots with powdery texture on lower leaf surface. Upper surface shows corresponding pale patches. Whitish flecks on leaf blade. Tip region most affected. Leaves feel dry.,2,LEAF_RUST
Dark necrotic patches with pale yellow borders appearing on lower canopy leaves. Soft texture at active edge. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,0,LEAF_BLIGHT
Fine white speckling uniformly distributed on upper leaf. Margins rolling and yellowing.,1,LEAF_HOPPERS
Orange-yellow powdery pustules on lower leaf surface. Corresponding pale spots visible on upper surface. Pale speckling on upper leaf surface. Margins slightly curled. Yellowing visible on some leaves.,2,LEAF_RUST
Orange pustules coalescing on lower leaf surface. Leaves yellowing and dropping in severely affected patches.,2,LEAF_RUST
Multiple small raised necrotic spots on tender shoots. Each spot has a sunken dark centre. Tips wilted. Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,4,MOSQUITO_BUG
Rust-coloured spore masses on abaxial surface. Upper leaf shows yellow-orange chlorotic spots above each pustule.,2,LEAF_RUST
Rust-coloured spore masses on abaxial surface. Upper leaf shows yellow-orange chlorotic spots above each pustule.,2,LEAF_RUST
Fine stippling on upper surface. Some leaf curl. Could reflect feeding damage or other stress. Brown spots on new foliage. Raised texture at lesion centres. Shoot tips look unhealthy.,1,LEAF_HOPPERS
Bleached stippling across leaf surface. Leaves brittle and discoloured. Tip dieback in severe cases. Brown spots on new foliage. Raised texture at lesion centres. Shoot tips look unhealthy.,1,LEAF_HOPPERS
Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge. Whitish flecks on leaf blade. Tip region most affected. Leaves feel dry.,0,LEAF_BLIGHT
Rust-orange raised spots with powdery texture on lower leaf surface. Upper surface shows corresponding pale patches. Whitish flecks on leaf blade. Tip region most affected. Leaves feel dry.,2,LEAF_RUST
Brown spots on new foliage. Raised texture at lesion centres. Shoot tips look unhealthy. Necrotic areas on leaf blade. Margins discoloured. Spreading under humid conditions.,4,MOSQUITO_BUG
Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow. Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,2,LEAF_RUST
Multiple small raised necrotic spots on tender shoots. Each spot has a sunken dark centre. Tips wilted. Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,4,MOSQUITO_BUG
Leaf lamina partially consumed leaving midrib and major veins. Feeding damage across multiple leaves in canopy. Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow.,3,LOOPER_CATERPILLARS
Upper leaf surface stripped away in patches. Veins exposed. Frass pellets and silk webbing visible nearby. Pale speckling on upper leaf surface. Margins slightly curled. Yellowing visible on some leaves.,3,LOOPER_CATERPILLARS
Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,3,LOOPER_CATERPILLARS
Large irregularly shaped brown areas on leaf blade. Margin tissue soft and disintegrating under moisture. Orange-yellow spots on leaf surface. Powdery texture. Both leaf surfaces show discolouration.,0,LEAF_BLIGHT
Skeletonized patches where only the major veins remain intact. Leaf edges highly irregular from feeding. Necrotic areas on leaf blade. Margins discoloured. Spreading under humid conditions.,3,LOOPER_CATERPILLARS
Brown patches on leaf margins. Tissue soft at edges. Worse in lower shaded canopy.,0,LEAF_BLIGHT
Rough corky raised spots on newly emerged leaves. Tips curled and discoloured. Lesions individually spaced. Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed.,4,MOSQUITO_BUG
Necrotic areas on leaf blade. Margins discoloured. Spreading under humid conditions.,0,LEAF_BLIGHT
Tip burn on young leaves with pale stippled damage spreading toward mid-leaf. Veins still green.,1,LEAF_HOPPERS
Multiple small raised necrotic spots on tender shoots. Each spot has a sunken dark centre. Tips wilted.,4,MOSQUITO_BUG
Blighted areas beginning at leaf tip and progressing along margins. Entire leaf browning in advanced cases.,0,LEAF_BLIGHT
Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge. Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow.,0,LEAF_BLIGHT
Necrotic areas on leaf blade. Margins discoloured. Spreading under humid conditions. Rust-coloured patches on lower leaf. Upper surface pale above affected areas.,0,LEAF_BLIGHT
Skeletonized patches where only the major veins remain intact. Leaf edges highly irregular from feeding.,3,LOOPER_CATERPILLARS
